"id","title","author","publishyear","isbn","amazon","openlibrary","acquired","whykept"
2,"Self to Lose - Self to Find","Marilyn Vancil",2016,"9781683140382","https://a.co/d/5TwHbAI","https://openlibrary.org/books/OL31828032M/Self_to_Lose_-_Self_to_Find","Bought","We think this is one of the better books on personality types, and we refer to it often."
3,"Tattoos on the Heart","Gregory Boyle",2010,"9781439153024","https://a.co/d/exD7Ue1","https://openlibrary.org/books/OL23668520M/Tattoos_on_the_heart","Bought","I bought it to read in a book club and fell in love with the stories it contains of compassion."
4,"Richest Man in Babylon","George S. Clason",1926,"9780452267251","https://a.co/d/goHGJUX","https://openlibrary.org/works/OL8165007W/The_Richest_Man_in_Babylon","Bought","We bought each of our kids a copy of this book because we want them to be wise with their money."
5,"Five Lessons","Ben Hogan",1957,"9780346123267","https://a.co/d/eYaDmlV","https://openlibrary.org/works/OL16083298W/Five_lessons","Bought","We keep this book as a golfing reference book so that occasionally we can look at it and be reminded of good golfing technique."
6,"Princess Bride","William Goldman",1973,"0345418263","https://a.co/d/28I2Xdu","https://openlibrary.org/works/OL486967W/The_Princess_Bride","Bought","I saw the movie before I read the book so when I read the book, I was delightfully surprised to find details that explained some things that occur in the movie. Both book and movie are great."
7,"Egermeier's Bible Story Book","Elsie E. Egermeier",2007,"9780871622297","https://a.co/d/8cgkYpk","https://openlibrary.org/books/OL8348881M/Egermeiers_Bible_Story_Book","Bought","This book came to us as a part of our homeschool curriculum. We liked gathering the kids up at night and reading a Bible story from this picture book."
10,"Scholastic Dictionary of Spelling","Marvin Terban",1998,"9780439764216","https://a.co/d/2WoMFw7","https://openlibrary.org/works/OL19948585W/Scholastic_dictionary_of_spelling","Bought","This book is a quick spelling reference."
9,"Essential Swimmer","Steve Tarpinian",1996,"1558213864","https://a.co/d/cqcmCiJ","https://openlibrary.org/works/OL2624443W/The_essential_swimmer","Bought","We used this book to learn to swim well as adults, and we find it to be a reference."
8,"DK Eyewitness Top 10 Puerto Rico","Christopher P. Baker",2015,"9780756653682","https://a.co/d/eNZxqvA","https://openlibrary.org/works/OL31954462W/DK_Eyewitness_Top_10_Travel_Guide?edition=","Bought","We spent last year in Puerto Rico. We kept this book to remind us of our time there."
11,"Survival Guide for the Modern Drummer","Jim Riley",2015,"9780692284087","https://a.co/d/6KRkNI4","https://openlibrary.org/works/OL26418173W/Survival_Guide_for_the_Modern_Drummer","Bought","Lee got this book to learn drumming."
12,"Songs for Beginners: Drum Play-Along Vol 32","Hel Leonard Corp",2013,"9781458497314","https://a.co/d/36j8sZv","https://openlibrary.org/works/OL26420661W/Songs_for_Beginners","Bought","This book includes eight songs like, Another One Bites the Dust by Queen, that Lee can learn to play on his drums."
13,"You and Me Forever","Francis Chan & Lisa Chan",2014,"9780990351405","https://a.co/d/9yrLbsG","https://openlibrary.org/works/OL17048162W/You_and_Me_Forever","Bought","We bought this book to read with our small group from church."
